eeschema (2010-05-05 BZR 2356)-stable  >> Creation date: Mon 18 Jun 2012 05:27:23 PM CEST

#Cmp ( order = Value )
| 100k         R5        ; SM0603S     
| 100k         R6        ; SM0603S     
| 100k         R7        ; SM0603S     
| 100k         R8        ; SM0603S     
| 100k         R9        ; SM0603S     
| 100k         R10       ; SM0603S     
| 100k         R11       ; SM0603S     
| 100k         R12       ; SM0603S     
| 100k         R13       ; SM0603S     
| 100k         R14       ; SM0603S     
| 100k         R15       ; SM0603S     
| 100k         R16       ; SM0603S     
| 100n         C1        ; SM0603S     
| 100n         C2        ; SM0603S     
| 100n         C6        ; SM0603S     
| 10k          R3        ; SM0603S     
| 10u          C3        ; SM1206      
| 10u          C4        ; SM1206      
| 10u          L1        ; Pulse_P0770NL
| 1k           R4        ; SM0603S     
| 1u           C5        ; SM0603S     
| 4K7          R1        ; SM0603S     
| 4K7          R2        ; SM0603S     
| BMP085       U2        ; BMP085      
| CONN_2       BAT1      ; 12BH311P    
| CONN_3       K1        ; TERMINAL_BLOCK_3.5MM_3P
| CONN_3       K2        ; TERMINAL_BLOCK_3.5MM_3P
| CONN_3       K3        ; TERMINAL_BLOCK_3.5MM_3P
| CONN_3       K4        ; TERMINAL_BLOCK_3.5MM_3P
| CONN_3       K5        ; TERMINAL_BLOCK_3.5MM_3P
| CONN_3       K6        ; TERMINAL_BLOCK_3.5MM_3P
| CONN_5       P1        ;             
| DHT22        U3        ; DHT22       
| LED          D1        ; SM0603S     
| MAX1724      U4        ; SOT23-5     
| PANSTAMP_02  U1        ; PANSTAMP_02 
| SW_PUSH_SMALL SW1       ; switch-tact-noah
| TMP36        U5        ; TO-92       
#End Cmp

#End List
